RUN,EPOCHS,BATCH_SIZE,LR,NEURONS,AUC_TRAIN,AUC_DEV,LOSS_TRAIN,LOSS_DEV,ACCURACY_TRAIN,ACCURACY_DEV
0,50,1024,1e-05,[256; 512],0.6801705449655521,0.6760735175124263,0.5209854,0.51801956,0.7613535,0.7575179
1,50,1024,1e-05,[512; 512],0.7237458247887956,0.7271276142821007,0.49828658,0.51525784,0.7691114,0.773747
2,50,1024,1e-05,[512; 1024],0.7541893560444611,0.7426391941391942,0.47763342,0.48898283,0.7822403,0.7704057
3,50,1024,1e-05,[1024; 1024],0.7927107985360818,0.7671698209034356,0.45155823,0.46083665,0.7976368,0.78663486
4,50,1024,3.0000000000000004e-05,[256; 512],0.786107851509861,0.765786202403744,0.45613104,0.46820068,0.79572713,0.7799523
5,50,1024,3.0000000000000004e-05,[512; 512],0.8138634652687786,0.8000117135479448,0.4303095,0.43578428,0.81434625,0.80143195
6,50,1024,3.0000000000000004e-05,[512; 1024],0.831445517386485,0.801305787906697,0.41075876,0.43803462,0.8248493,0.80835325
7,50,1024,3.0000000000000004e-05,[1024; 1024],0.8455613149516941,0.8003783673435145,0.39713266,0.43340844,0.8333831,0.8150358
8,50,1024,0.0001,[256; 512],0.856419135981681,0.8038736845382651,0.38431317,0.45584387,0.8412604,0.80692124
9,50,1024,0.0001,[512; 512],0.8869980778064954,0.8212799390314528,0.34497583,0.41148916,0.86023754,0.82100236
10,50,1024,0.0001,[512; 1024],0.9005951664035686,0.8111312650628492,0.3268599,0.43943453,0.8699051,0.81599045
11,50,1024,0.0001,[1024; 1024],0.9263656984640036,0.8215568724931119,0.29042634,0.3921185,0.8885839,0.83556086
12,50,1024,0.00030000000000000003,[256; 512],0.9407307266181261,0.8238415458031663,0.26102832,0.42176646,0.9013547,0.82959425
13,50,1024,0.00030000000000000003,[512; 512],0.9580716173305597,0.8308484789551008,0.23065484,0.41501155,0.91484153,0.8360382
14,50,1024,0.00030000000000000003,[512; 1024],0.9750722480562285,0.820366049215723,0.18201138,0.4645671,0.9366832,0.8286396
15,50,1024,0.00030000000000000003,[1024; 1024],0.9919964991206288,0.8305827020202019,0.12092625,0.45664302,0.96502954,0.8362768
16,50,1024,0.001,[256; 512],0.9910896649372185,0.8250286012365218,0.11039776,0.51838815,0.9664618,0.8300716
17,50,1024,0.001,[512; 512],0.9934687135757644,0.8140368799643853,0.12268799,0.5599626,0.95554096,0.80835325
18,50,1024,0.001,[512; 1024],0.9983179247545617,0.8293248045486852,0.05793358,0.5926319,0.9852599,0.8353222
19,50,1024,0.001,[1024; 1024],0.9902056378120495,0.8401563942485861,0.1763305,0.5756594,0.9267172,0.8136038
20,100,1024,1e-05,[256; 512],0.7522142179367984,0.7238331890342946,0.48379225,0.484811,0.77848065,0.78591883
21,100,1024,1e-05,[512; 512],0.790930419744702,0.7711601748184779,0.4532315,0.46179157,0.7972191,0.7954654
22,100,1024,1e-05,[512; 1024],0.8062876697654366,0.7799252484286625,0.43995118,0.44047388,0.8074238,0.7921241
23,100,1024,1e-05,[1024; 1024],0.827984268292279,0.7892909007142452,0.4119714,0.4870873,0.82276064,0.79069215
24,100,1024,3.0000000000000004e-05,[256; 512],0.832674281112,0.8016380558826306,0.40922448,0.4428813,0.8268783,0.8062053
25,100,1024,3.0000000000000004e-05,[512; 512],0.8482833901135989,0.8065891095300631,0.39124814,0.44160286,0.83320403,0.8090692
26,100,1024,3.0000000000000004e-05,[512; 1024],0.8664080916080499,0.800349138372276,0.37012964,0.44903794,0.8484216,0.8045346
27,100,1024,3.0000000000000004e-05,[1024; 1024],0.8920851074563034,0.8240207581693941,0.34059736,0.4260017,0.8628036,0.824105
28,100,1024,0.0001,[256; 512],0.9133287301057856,0.8265779679660071,0.30593705,0.41604576,0.88070655,0.82649165
29,100,1024,0.0001,[512; 512],0.9355067148536393,0.829216436024986,0.2719756,0.4329866,0.8969386,0.8217184
30,100,1024,0.0001,[512; 1024],0.9587270876335952,0.8286536287577253,0.22544561,0.3940429,0.91943663,0.8257757
31,100,1024,0.0001,[1024; 1024],0.9851079544751695,0.8411707751923105,0.16092499,0.40780982,0.94849914,0.84105015
32,100,1024,0.00030000000000000003,[256; 512],0.9816907956062186,0.803622542659423,0.15428798,0.48823252,0.9504685,0.81694514
33,100,1024,0.00030000000000000003,[512; 512],0.9876826747977956,0.8078098994111018,0.12918556,0.5318605,0.951841,0.8360382
34,100,1024,0.00030000000000000003,[512; 1024],0.9975797117409836,0.8233494972827656,0.06952748,0.60217106,0.98412603,0.8181384
35,100,1024,0.00030000000000000003,[1024; 1024],0.997659216501688,0.8262852078757754,0.064504616,0.6471729,0.981918,0.8393795
36,100,1024,0.001,[256; 512],0.9975428319432329,0.823795085909701,0.07157439,0.6959678,0.9761891,0.8131265
37,100,1024,0.001,[512; 512],0.9988902490843385,0.831722303352374,0.03198725,0.73204803,0.9894372,0.8331742
38,100,1024,0.001,[512; 1024],0.9988193612206664,0.8352649752908969,0.033072393,0.7713492,0.98842275,0.8124105
39,100,1024,0.001,[1024; 1024],0.9972476710765705,0.8316021640079859,0.0848066,0.7143801,0.967536,0.82505965
40,200,1024,1e-05,[256; 512],0.8119370898146601,0.7698374613003096,0.436364,0.45203227,0.8094528,0.8031026
