RUN,EPOCHS,BATCH_SIZE,LR,NEURONS,AUC_TRAIN,AUC_DEV,LOSS_TRAIN,LOSS_DEV,ACCURACY_TRAIN,ACCURACY_DEV
0,100,1024,1e-05,[256; 512],0.8721626164901464,0.7745466052920134,0.371172,0.4374551,0.84305066,0.7990453
1,100,1024,1e-05,[512; 512],0.92151969292839,0.7907831074413503,0.31152633,0.43936437,0.87945336,0.8171838
2,100,1024,1e-05,[512; 1024],0.9120037111702344,0.768253678844649,0.32467675,0.4293645,0.8711583,0.8143198
3,100,1024,1e-05,[1024; 1024],0.9494213180099395,0.7893893102706298,0.25837284,0.4579863,0.90642715,0.8207637
4,100,1024,3.0000000000000004e-05,[256; 512],0.9478700254328795,0.8010847323540821,0.25004238,0.43178853,0.9097094,0.8202864
5,100,1024,3.0000000000000004e-05,[512; 512],0.9704539512638849,0.8024404977724499,0.1973004,0.4506895,0.93423647,0.8312649
6,100,1024,3.0000000000000004e-05,[512; 1024],0.9786779791689696,0.8021641065830721,0.17303595,0.47019377,0.9432476,0.8303103
7,100,1024,3.0000000000000004e-05,[1024; 1024],0.9810231328022436,0.8091797208878274,0.15914614,0.508359,0.94969267,0.8286396
8,100,1024,0.0001,[256; 512],0.9838499932013387,0.7956429572707743,0.14063068,0.50793564,0.95279586,0.83102626
9,100,1024,0.0001,[512; 512],0.9889944523460362,0.8150540448777024,0.10931463,0.5083529,0.96401507,0.8274463
10,100,1024,0.0001,[512; 1024],0.9887594637435377,0.7945898768695379,0.13106044,0.57189876,0.9539297,0.81789976
11,100,1024,0.0001,[1024; 1024],0.9906895234805303,0.8171007954501055,0.088923275,0.60673773,0.97069883,0.81861573
12,100,1024,0.00030000000000000003,[256; 512],0.9939711300565567,0.7858556621585173,0.09423955,0.62523144,0.9667005,0.8236277
13,100,1024,0.00030000000000000003,[512; 512],0.9928492355641639,0.8057852155568231,0.08791047,0.7454138,0.96825206,0.82195705
14,100,1024,0.00030000000000000003,[512; 1024],0.9909656784713251,0.8111498778998779,0.104854956,0.74448985,0.9569732,0.802148
