-0.624 (+/-0.476) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': None}
-0.560 (+/-0.308) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': None}
-0.547 (+/-0.274) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': None}
-0.544 (+/-0.272) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': None}
-0.547 (+/-0.280) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': None}
-0.544 (+/-0.275) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': None}
-0.545 (+/-0.272) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': None}
-0.543 (+/-0.270) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': None}
-0.544 (+/-0.272) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': None}
-0.544 (+/-0.273) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': None}
-0.635 (+/-0.486) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': None}
-0.558 (+/-0.301) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': None}
-0.553 (+/-0.298) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': None}
-0.544 (+/-0.268) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': None}
-0.547 (+/-0.282) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': None}
-0.543 (+/-0.272) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': None}
-0.541 (+/-0.267) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': None}
-0.542 (+/-0.270) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': None}
-0.544 (+/-0.272) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': None}
-0.543 (+/-0.273) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': None}
-0.628 (+/-0.477) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': None}
-0.565 (+/-0.310) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': None}
-0.557 (+/-0.296) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': None}
-0.547 (+/-0.273) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': None}
-0.545 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': None}
-0.543 (+/-0.264) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': None}
-0.543 (+/-0.261) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': None}
-0.543 (+/-0.264) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': None}
-0.542 (+/-0.259) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': None}
-0.542 (+/-0.259) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': None}
-0.599 (+/-0.415) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 32}
-0.559 (+/-0.311) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 32}
-0.553 (+/-0.303) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 32}
-0.549 (+/-0.286) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 32}
-0.545 (+/-0.273) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 32}
-0.544 (+/-0.272) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 32}
-0.547 (+/-0.279) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 32}
-0.543 (+/-0.270) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 32}
-0.541 (+/-0.269) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 32}
-0.544 (+/-0.277) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 32}
-0.616 (+/-0.434) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 32}
-0.565 (+/-0.324) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 32}
