RUN,BATCH_SIZE,LR,val_loss,val_accuracy,val_AUC,accuracy,NEURONS,AUC,loss,EPOCHS
0,512,0.001,3.7005172709007534,0.75990456,0.5,0.73587155,[1024; 1024; 512],0.49668685,3.3623826043335616,0
0,512,0.001,0.4420130603068768,0.8176611,0.8139977,0.81231725,[1024; 1024; 512],0.8200516,0.42054441480710014,50
0,512,0.001,0.4226307910211331,0.8243437,0.82810074,0.8408426,[1024; 1024; 512],0.87503064,0.3582068771122108,100
0,512,0.001,0.422665283076803,0.83365154,0.832104,0.86877126,[1024; 1024; 512],0.91350627,0.30255146546324563,150
0,512,0.001,0.4284053421248115,0.8329356,0.83546853,0.8849436,[1024; 1024; 512],0.93449837,0.26785671137401806,200
0,512,0.001,0.4293802695371086,0.83699286,0.83578914,0.89526767,[1024; 1024; 512],0.945752,0.24425876004094618,250
0,512,0.001,0.4471812352502545,0.8348449,0.83039606,0.9032046,[1024; 1024; 512],0.9541061,0.22401068815932024,300
0,512,0.001,0.4545539052076727,0.8367542,0.8371733,0.9109626,[1024; 1024; 512],0.9590217,0.21121067450383316,350
0,512,0.001,0.44864909264808056,0.84009546,0.8384999,0.9160948,[1024; 1024; 512],0.96157974,0.20493183596190956,400
0,512,0.001,0.48203059102015167,0.8389022,0.83897173,0.92170435,[1024; 1024; 512],0.9667344,0.19174614216548316,450
0,512,0.001,0.46541640246398125,0.8343675,0.83656114,0.9227189,[1024; 1024; 512],0.9689232,0.18684648243237872,500
0,512,0.001,0.4988010978215065,0.8367542,0.83645284,0.9228979,[1024; 1024; 512],0.97041243,0.18129514107084818,550
0,512,0.001,0.458470268792924,0.84224343,0.8394469,0.92522526,[1024; 1024; 512],0.9705293,0.1822079664606777,600
1,512,0.003,3.9022542819202943,0.7470167,0.5,0.75019395,[1024; 1024; 512],0.5008996,3.6668655255418936,0
1,512,0.003,3.902254173351643,0.7470167,0.5,0.7585487,[1024; 1024; 512],0.5,3.7243743095903326,50
1,512,0.003,3.9022541938362942,0.7470167,0.5,0.7585487,[1024; 1024; 512],0.5,3.724374403850826,100
1,512,0.003,3.9022542527865682,0.7470167,0.5,0.7585487,[1024; 1024; 512],0.5,3.7243743864642114,150
1,512,0.003,3.9022542803270435,0.7470167,0.5,0.7585487,[1024; 1024; 512],0.5,3.724374349741746,200
1,512,0.003,3.902254344626088,0.7470167,0.5,0.7585487,[1024; 1024; 512],0.5,3.724374422887889,250
1,512,0.003,3.9022542220595913,0.7470167,0.5,0.7585487,[1024; 1024; 512],0.5,3.724374389978527,300
1,512,0.003,3.9022543215239534,0.7470167,0.5,0.7585487,[1024; 1024; 512],0.5,3.7243744142088095,350
1,512,0.003,3.9022543199307025,0.7470167,0.5,0.7585487,[1024; 1024; 512],0.5,3.7243743859520033,400
